Index,Index in initial List,CWNS_No,Total Flow (MGD),City,County,State,Has Cogen,Est. Electricity Demand (MW),Est. Gas Demand (therms/hr),Electricity Utility,Gas Utility,Electric URL,Gas URL
81,13438,6002121001,167,,Alameda,CA,Yes,12.17708333,41.5521327,Pacific  Gas and Energy,Pacific  Gas and Energy,https://www.pge.com/tariffs/electric.shtml#INDUSTRIAL,https://www.pge.com/tariffs/assets/pdf/tariffbook/GAS_SCHEDS_G-NR2.pdf
82,754,36002001012,170,New York,New York,NY,Yes,12.39583333,42.2985782,Con Edison,National Grid,https://www.coned.com/_external/cerates/documents/elecPSC10/electric-tariff.pdf,https://www.nationalgridus.com/media/pdfs/billing-payments/gas-rates/nym/kedny_gas_delivery_charges_-_effective_september_2021.pdf
83,6768,39001666002,170,Cuyahoga Heights,Cuyahoga,OH,No,24.79166667,0,The Illuminating Company,,https://www.firstenergycorp.com/content/dam/customer/Customer%20Choice/Files/Ohio/tariffs/CEI-2021-Electric-Service.pdf,
84,589,34002065001,177.633,Sayreville,Middlesex,NJ,Yes,12.95240625,44.19778436,Jersey Central Power and Light Co,Public Service Electric And Gas Company,https://www.firstenergycorp.com/content/dam/customer/Customer%20Choice/Files/New%20Jersey/tariffs/BPU-13-Part-III-Effective-July-1-2021.pdf,https://nj.pseg.com/-/media/PSEG/Public-Site/Documents/Current-Gas-Tariff/Gas-Tariff-16-WNC-SBCUSF-10012021.ashx
85,13814,6009031001,184,San Diego,San Diego,CA,Yes,13.41666667,45.78199052,San Diego Gas and Electric,San Diego Gas and Electric,https://tariff.sdge.com/tm2/pdf/ELEC_ELEC-SCHEDS_A6-TOU.pdf,https://tariff.sdge.com/tm2/pdf/GAS_GAS-SCHEDS_GN-3.pdf
86,1523,42000094001,196.7,Philadelphia,Philadelphia,PA,No,28.68541667,0,PECO,,https://www.peco.com/SiteCollectionDocuments/current%20elec%20tariff%20Oct%201%202021.pdf,https://www.pgworks.com/uploads/pdfs/PGW_Gas_Service_Tariff_Through_Supplement_144_-_Updated.pdf
87,1524,42000094002,198.5,Philadelphia,Philadelphia,PA,Yes,14.47395833,49.38981043,PECO,Philadelphia Gas works,https://www.peco.com/SiteCollectionDocuments/current%20elec%20tariff%20Oct%201%202021.pdf,https://www.pgworks.com/uploads/pdfs/PGW_Gas_Service_Tariff_Through_Supplement_144_-_Updated.pdf
88,6272,27000001001,203.62,St Paul,Ramsey,MN,No,29.69458333,0,Xcel energy,,https://www.transmission.xcelenergy.com/staticfiles/xe/Regulatory/Regulatory%20PDFs/rates/MN/MNBusRateCard.pdf,
89,7539,55003100001,212,Milwaukee,Milwaukee,WI,Yes,15.45833333,52.74881517,WE ENERGY,WE Energy,https://www.we-energies.com/pdfs/etariffs/wisconsin/elecrateswi.pdf,https://www.we-energies.com/pdfs/tariffs_vol7/WGCtariffbk_vol7.pdf
90,5232,17000721009,232.58,Chicago,Cook,IL,No,33.91791667,0,Comed,,https://www.comed.com/SiteCollectionDocuments/MyAccount/MyBillUsage/CurrentRates/Delivery_Service_Charges_InfoSheets.pdf,
91,743,36002001001,250,New York,New York,NY,Yes,18.22916667,62.20379147,Con Edison,Con Edison,https://www.coned.com/_external/cerates/documents/elecPSC10/electric-tariff.pdf,https://www.coned.com/_external/cerates/documents/gas_tariff/pdf/schedule-for-gas-service.pdf
92,753,36002001011,271.26,Brooklyn,Kings,NY,Yes,19.779375,67.4936019,Con Edison,National Grid,https://www.coned.com/_external/cerates/documents/elecPSC10/electric-tariff.pdf,https://www.nationalgridus.com/media/pdfs/billing-payments/gas-rates/nym/kedny_gas_delivery_charges_-_effective_september_2021.pdf
93,552,34001082001,278.33,Newark,Essex,NJ,No,40.58979167,0,Public Service Electric And Gas Company,,https://nj.pseg.com/-/media/PSEG/Public-Site/Documents/Current-Electric-Tariff/Electric-Tariff-16-SBCUSF-Effective-10012021.ashx,
94,5230,17000721007,292,Skokie,Cook,IL,No,42.58333333,0,Comed,,https://www.comed.com/SiteCollectionDocuments/MyAccount/MyBillUsage/CurrentRates/Delivery_Service_Charges_InfoSheets.pdf,
95,147,25000128001,310,Boston,Suffolk,MA,Yes,22.60416667,77.13270142,Eversource,National Grid,https://www.eversource.com/content/docs/default-source/rates-tariffs/ema-greater-boston-rates.pdf?sfvrsn=c27ef362_54,https://gasrates.nationalgridus.com/ne/Boston%20Base%20Rate%20Tariffs.pdf
96,13514,6004010001,325,Playa Del Ray,Los Angeles,CA,Yes,23.69791667,80.86492891,Southern California Edison,Socal Gas,https://library.sce.com/content/dam/sce-doclib/public/regulatory/tariff/electric/schedules/general-service-&-industrial-rates/ELECTRIC_SCHEDULES_TOU-8.pdf,https://tariff.socalgas.com/regulatory/tariffs/tm2/pdf/G-10.pdf
97,13503,6004009001,339,Carson,Los Angeles,CA,Yes,24.71875,84.34834123,Southern California Edison,Socal Gas,https://library.sce.com/content/dam/sce-doclib/public/regulatory/tariff/electric/schedules/general-service-&-industrial-rates/ELECTRIC_SCHEDULES_TOU-8.pdf,https://tariff.socalgas.com/regulatory/tariffs/tm2/pdf/G-10.pdf
